name,brand_category,operator,shop,latitude,longitude,addr:housenumber,addr:street,addr:postcode,addr:city
COOP - Charmilles,Coop,,supermarket,46.2080457,6.1274888,,,,Genève
Coop,Coop,,supermarket,46.2285104,6.0725738,,Route de Meyrin,1217,Meyrin
Denner,Denner,,supermarket,46.2149955,6.1342617,,,,
Migros,Migros,,supermarket,46.1824564,6.1344159,29,Avenue Vibert,1227,Carouge GE
Migros,Migros,,supermarket,46.2007379,6.159064,29,Rue de la Terrassière,1207,Genève
Coop,Coop,,supermarket,46.1946669,6.1524505,8c,Avenue de Champel,,Genève
Coop,Coop,,supermarket,46.1802002,6.1279232,,,,
Coop,Coop,,supermarket,46.2079804,6.1372916,18,Rue Voltaire,1201,
Migros,Migros,,supermarket,46.2041853,6.0970937,,,,
ALDI,Aldi,,supermarket,46.1942276,6.1961796,,,,
Coop,Coop,,supermarket,46.2249777,6.1315183,,,1202,Genève
Coop,Coop,,supermarket,46.1743296,6.0710939,,,,
Coop,Coop,,supermarket,46.2040841,6.1453346,,,,
Migros,Migros,Migros,supermarket,46.2244233,6.1262801,2,Chemin de la Tourelle,1209,Genève
Migros,Migros,,supermarket,46.1674607,6.1149267,176,Route de Saint-Julien,1228,Plan-les-Ouates
Coop,Coop,,supermarket,46.188991,6.1366306,20,Rue des Epinettes,1227,Carouge GE
Migros,Migros,,supermarket,46.1964647,6.1941766,12,Avenue de Bel-Air,1225,Chêne-Bourg
Coop,Coop,,supermarket,46.212616,6.13149,81,Rue de la Servette,1202,
Coop,Coop,,supermarket,46.280775,6.1665302,77,Route de Suisse,,Versoix
Denner,Denner,,supermarket,46.1868511,6.1385204,,,,
Coop,Coop,,supermarket,46.2068801,6.1297887,25,Rue Daubin,1203,Genève
Lidl,Lidl,,supermarket,46.1916389,6.1446885,61,Rue Prévost-Martin,1205,Genève
Denner,Denner,,supermarket,46.192746,6.1447911,36,Rue Prévost-Martin,1205,Genève
Migros,Migros,,supermarket,46.1931038,6.1435867,64,Rue de Carouge,1205,Genève
Coop,Coop,,supermarket,46.1922331,6.1437699,,,,
Coop,Coop,,supermarket,46.1747018,6.0833557,,,,
Migros,Migros,,supermarket,46.1834404,6.1410491,16,Rue du Marché,1227,Carouge GE
Coop,Coop,,supermarket,46.1997037,6.1325875,,,,
Migros,Migros,,supermarket,46.2007832,6.130593,,Boulevard Carl-Vogt,,Genève
MM Migros,Migros,,supermarket,46.1749674,6.1225022,,,,
Migros,Migros,,supermarket,46.2123799,6.1496911,41,Rue des Pâquis,1201,
Coop,Coop,,supermarket,46.2119456,6.1494282,35,Rue des Pâquis,1201,Genève
